Threshold	V	c	h	ARI
0.97	0.783	0.657	0.969	0.278
0.00	0.783	0.657	0.969	0.278
0.5	0.783	0.657	0.969	0.278
0.75	0.783	0.657	0.969	0.278				0.013363461010158062
0.90	0.783	0.657	0.969	0.278
0.99	0.615	0.444	1.0	0.0
0.98	0.783	0.657	0.969	0.278
